season,hour,QN,QH,QE,QS,n_paired_hours
Spring,0,2.5337514672768475,0.2949563712841946,0.6305335265784333,1.6082615694142202,31
Spring,1,2.5357564368477625,0.33402664009555283,0.591840354655756,1.6098894420964533,30
Spring,2,2.528201476290001,0.35171865187596973,0.5711808377348341,1.6053019866791982,30
Spring,3,2.53328879314657,0.358787944421262,0.5638931209036447,1.6106077278216615,30
Spring,4,2.5366478153965235,0.3516625566339323,0.5707287915030473,1.6142564672595432,30
Spring,5,2.545639502280962,0.33455868509296127,0.5894533990780381,1.6216274181099652,30
Spring,6,2.6020083127524303,0.4623964003006792,0.4930274343937313,1.6465844780580197,30
Spring,7,2.697940350744895,0.5567542892633718,0.43260634925877484,1.7085797122227493,30
Spring,8,2.7823820896308,0.7938078568039212,0.23788269385799332,1.7506915389688813,30
Spring,9,2.92291701985939,0.9582536322471332,0.09743422414579962,1.86722916346644,30
Spring,10,3.130614457444125,1.0955124575083726,0.07523060560992204,1.9598713943258323,30
Spring,11,3.245307886979691,1.0967130304252388,0.06732798952263597,2.081266867031824,30
Spring,12,3.2629601819324003,1.1121837857223427,0.06995400055598626,2.0808223956540663,30
Spring,13,3.26351119131125,0.7994531311043872,0.3845316807624286,2.079526379444411,30
Spring,14,3.2224967572933965,0.39088908757630764,0.7315275976639093,2.1000800720531534,30
Spring,15,3.1345436576387793,0.246182681711116,0.8590501387554865,2.0293108371721726,30
Spring,16,3.050199930383464,0.12012437161859432,0.9516237942491715,1.9784517645157043,30
Spring,17,2.9928036606752433,0.1720460138337973,0.8689950525511471,1.9517625942903016,30
Spring,18,2.918956371923875,0.08019935119466837,0.9433317959111165,1.8954252248180898,30
Spring,19,2.801566866273779,0.1582046998445434,0.8220467235973372,1.821315442831899,30
Spring,20,2.686688923420014,0.2267957557364913,0.7356798317937833,1.7242133358897391,30
Spring,21,2.6086483445826025,0.2526619810613479,0.6936981887456322,1.6622881747756224,30
Spring,22,2.5707284093545,0.26756767869624765,0.6697423109213596,1.6334184197368953,30
Spring,23,2.545702447886148,0.25419956078215394,0.6755696900760835,1.6159331970279107,30
