gridiv,name,time,QN,QH,QE,QS,hour
4,Kampong Lama,2024-03-16 00:00:00,2.8658587862348757,0.6114640946349752,0.4333292827971933,1.821065408802724,0
4,Kampong Lama,2024-03-16 01:00:00,2.8457476468611915,0.36574533952209975,0.6708674247848379,1.809134882554261,1
4,Kampong Lama,2024-03-16 02:00:00,2.8169791308344188,0.20307000055210622,0.8238865996243518,1.7900225306579642,2
4,Kampong Lama,2024-03-16 03:00:00,2.776829741302187,0.19765202594977183,0.8174421674168215,1.7617355479355936,3
4,Kampong Lama,2024-03-16 04:00:00,2.7191567978189974,0.09939802613422799,0.8974389488496861,1.7223198228350896,4
4,Kampong Lama,2024-03-16 05:00:00,2.6799600788958635,-0.08551708419774506,1.0635514984520604,1.7019256646415428,5
4,Kampong Lama,2024-03-16 06:00:00,2.722343523249627,-0.14379921004261575,1.1354721634807952,1.730670569811446,6
4,Kampong Lama,2024-03-16 07:00:00,2.8755078613152705,-0.12961612610727968,1.1686176785544369,1.8365063088681097,7
4,Kampong Lama,2024-03-16 08:00:00,3.0547064079968322,0.011590284533482986,1.0933630565814205,1.9497530668818968,8
4,Kampong Lama,2024-03-16 09:00:00,3.28674299856101,0.3022908088999827,0.9278527229439462,2.0565994667170457,9
4,Kampong Lama,2024-03-16 10:00:00,3.5704009314112,0.7342147687168676,0.5553140505007761,2.2808721121934354,10
4,Kampong Lama,2024-03-16 11:00:00,3.7050325976105114,1.4102547567805743,-0.0680416072068688,2.3628194480368165,11
4,Kampong Lama,2024-03-16 12:00:00,3.7035524131728152,1.7016756644015913,-0.31996740591691264,2.321844154688165,12
4,Kampong Lama,2024-03-16 13:00:00,3.6861166851173266,0.2877227875391668,1.0893908660003504,2.309003031577845,13
4,Kampong Lama,2024-03-16 14:00:00,3.6170087796011785,0.4569932153562206,0.8223826176279587,2.337632946616907,14
4,Kampong Lama,2024-03-16 15:00:00,3.4636804604450617,0.545962343384133,0.7172063119393286,2.2005118051216357,15
4,Kampong Lama,2024-03-16 16:00:00,3.3198102480504588,0.7748710940401224,0.43754209161888014,2.107397062391442,16
4,Kampong Lama,2024-03-16 17:00:00,3.243068390946817,1.0171280586726539,0.16480555236143601,2.06113477991272,17
4,Kampong Lama,2024-03-16 18:00:00,3.1833836352889904,1.0852626685926978,0.0750740838562356,2.023046882840049,18
4,Kampong Lama,2024-03-16 19:00:00,3.099520440089357,1.0899089231167025,0.04244032076974058,1.9671711962029192,19
4,Kampong Lama,2024-03-16 20:00:00,3.0252148658622886,1.086324589836554,0.015521523360019884,1.9233687526657235,20
4,Kampong Lama,2024-03-16 21:00:00,2.9706491128461483,1.0361633708372082,0.015094225448886167,1.9193915165600473,21
4,Kampong Lama,2024-03-16 22:00:00,2.9110243888013194,1.036416709797205,0.018856204442198266,1.8557514745619201,22
4,Kampong Lama,2024-03-16 23:00:00,2.8711917550755555,1.002537691977274,0.047334462014615664,1.8213196010836583,23
4,Kampong Lama,2024-03-17 00:00:00,2.8282250130960858,0.9535519141052653,0.08237213792816078,1.7923009610626437,0
4,Kampong Lama,2024-03-17 01:00:00,2.762561644703389,0.923189908598836,0.08683090468298715,1.7525408314215554,1
4,Kampong Lama,2024-03-17 02:00:00,2.7728872056799174,0.9043658039983384,0.10731141042577663,1.7612099912558037,2
4,Kampong Lama,2024-03-17 03:00:00,2.878511642248677,0.8895267303746621,0.1504368000993539,1.8385481117746565,3
4,Kampong Lama,2024-03-17 04:00:00,2.949556552018878,0.916314399907769,0.14518658620099956,1.8880555659101006,4
4,Kampong Lama,2024-03-17 05:00:00,2.9598983216189136,0.9465982861964939,0.12312529520473259,1.890174740217681,5
4,Kampong Lama,2024-03-17 06:00:00,2.984814576483636,0.9776368855065556,0.10475427133847948,1.902423419638609,6
4,Kampong Lama,2024-03-17 07:00:00,3.0536811420337244,1.0153771891848322,0.09174035663607683,1.9465635962128474,7
4,Kampong Lama,2024-03-17 08:00:00,3.1415719261802906,1.0726401449361873,0.06634072286238712,2.002591058381711,8
4,Kampong Lama,2024-03-17 09:00:00,3.3273360028494494,1.1627252816826115,0.039405252894187726,2.125205468272725,9
4,Kampong Lama,2024-03-17 10:00:00,3.601203617984197,1.640997179204959,-0.1763584540357339,2.1365648928149312,10
4,Kampong Lama,2024-03-17 11:00:00,3.7624367935309238,-0.05772521729701907,1.3163853394091252,2.5037766714189047,11
4,Kampong Lama,2024-03-17 12:00:00,3.811792841275633,0.7094700519758135,0.7346368422853864,2.3676859470144223,12
4,Kampong Lama,2024-03-17 13:00:00,3.824755397422564,1.1668338912849947,0.22498804203245015,2.4329334641050764,13
4,Kampong Lama,2024-03-17 14:00:00,3.7461936472551542,1.1424004977063191,0.22324311494821103,2.38055003460056,14
4,Kampong Lama,2024-03-17 15:00:00,3.5751064930497023,0.8085593763268264,0.49747852685215577,2.269068589870699,15
4,Kampong Lama,2024-03-17 16:00:00,3.4534922944464768,0.5520964869938325,0.7068520240353919,2.1945437834173163,16
4,Kampong Lama,2024-03-17 17:00:00,3.408914197411491,0.46592729221530504,0.7754115490429285,2.167575356153243,17
4,Kampong Lama,2024-03-17 18:00:00,3.3223165575892866,0.6113551009809726,0.624906030045782,2.086055426562531,18
4,Kampong Lama,2024-03-17 19:00:00,3.1644919778632072,0.7521155273778461,0.4008296977760093,2.011546752709357,19
4,Kampong Lama,2024-03-17 20:00:00,3.018935592153298,0.8268328946959755,0.2816246869367838,1.910478010520528,20
4,Kampong Lama,2024-03-17 21:00:00,2.9255963668949168,0.815379101923881,0.26177574536748693,1.848441519603547,21
4,Kampong Lama,2024-03-17 22:00:00,2.828566403032319,0.8194797937774787,0.22263780265990984,1.786448806594933,22
4,Kampong Lama,2024-03-17 23:00:00,2.7548820354283396,0.8089647505389728,0.2058231193906659,1.7400941654987108,23
4,Kampong Lama,2024-03-18 00:00:00,2.7634990853813273,0.7469817601247009,0.26354500593137686,1.7529723193252522,0
4,Kampong Lama,2024-03-18 01:00:00,2.779190465396977,0.6365946220276228,0.373913075770929,1.7686827675984205,1
4,Kampong Lama,2024-03-18 02:00:00,2.7534152676257886,0.4628729134585363,0.5401638773596087,1.75037847680764,2
4,Kampong Lama,2024-03-18 03:00:00,2.741062202287517,0.28104010335894003,0.718787898820656,1.7412342001079253,3
4,Kampong Lama,2024-03-18 04:00:00,2.7390142817421044,0.10628722126346446,0.8909640849938398,1.7417629754847965,4
4,Kampong Lama,2024-03-18 05:00:00,2.7226905989008183,-0.07791891717272748,1.0684631598243328,1.732146356249224,5
4,Kampong Lama,2024-03-18 06:00:00,2.726982148767455,-0.3123597647451479,1.3509755580554135,1.6883663554571928,6
4,Kampong Lama,2024-03-18 07:00:00,2.748907323793617,-0.8533411312478592,1.8225868597914996,1.7796615952499906,7
4,Kampong Lama,2024-03-18 08:00:00,2.7875381367891805,-1.3615148615618864,2.372210197796292,1.776842800554789,8
4,Kampong Lama,2024-03-18 09:00:00,2.9979813488852756,-1.5024492054963758,2.5827342499585484,1.9176963044230604,9
4,Kampong Lama,2024-03-18 10:00:00,3.3372524412650364,-0.9975604446851207,2.2431500743321493,2.0916628116179936,10
4,Kampong Lama,2024-03-18 11:00:00,3.5262324587251896,0.6209761303124708,0.9310151906539375,1.974241137758895,11
4,Kampong Lama,2024-03-18 12:00:00,3.5986121000170215,1.3768303628507965,-0.09625766441955363,2.318039401585793,12
4,Kampong Lama,2024-03-18 13:00:00,3.6730990532221313,1.7315337017477646,-0.40206033516115625,2.343625686635505,13
4,Kampong Lama,2024-03-18 14:00:00,3.6966934485055845,1.0980482471408095,0.1649582290196232,2.433686972345015,14
4,Kampong Lama,2024-03-18 15:00:00,3.639039585680564,0.546781138130541,0.6957432302686959,2.396515217281319,15
4,Kampong Lama,2024-03-18 16:00:00,3.543250515436654,0.6828423629395388,0.5990121962980588,2.2613959561990384,16
4,Kampong Lama,2024-03-18 17:00:00,3.48676184552248,0.7793542327179352,0.4897557737668685,2.217651839037682,17
4,Kampong Lama,2024-03-18 18:00:00,3.449249153130209,0.8430017428918788,0.4129603945400122,2.193287015698317,18
4,Kampong Lama,2024-03-18 19:00:00,3.385522085117593,0.8434252159030855,0.4014598814497461,2.140636987764765,19
4,Kampong Lama,2024-03-18 20:00:00,3.3541238700033595,0.8302724252661164,0.4020677206809493,2.121783724056293,20
4,Kampong Lama,2024-03-18 21:00:00,3.3394172764222,0.7956408030994169,0.4209764387753374,2.1228000345474456,21
4,Kampong Lama,2024-03-18 22:00:00,3.294147719168638,0.7169592319866354,0.4838081399484553,2.0933803472335413,22
4,Kampong Lama,2024-03-18 23:00:00,3.2387072352979445,0.6911831182512032,0.49205716520717147,2.055466951839577,23
4,Kampong Lama,2024-03-19 00:00:00,3.1612845695039002,0.7520658882560696,0.4055132453179233,2.003705435929902,0
4,Kampong Lama,2024-03-19 01:00:00,3.0675775901105027,0.8230311485971598,0.3023978950709667,1.9421485464423753,1
4,Kampong Lama,2024-03-19 02:00:00,3.035931513543277,0.8698223006883552,0.24235370207626517,1.9237555107786477,2
4,Kampong Lama,2024-03-19 03:00:00,3.057575533151047,0.9360852619090494,0.1787278564969501,1.9427624147450402,3
4,Kampong Lama,2024-03-19 04:00:00,3.0468549972917813,0.9872118651139381,0.12201603105924974,1.9376271011186006,4
4,Kampong Lama,2024-03-19 05:00:00,3.01959785013716,1.009151999395268,0.09126877672030531,1.91917707402159,5
4,Kampong Lama,2024-03-19 06:00:00,3.036294345210379,1.0315047367009527,0.07172017740719205,1.9330694311022416,6
4,Kampong Lama,2024-03-19 07:00:00,3.118158674047322,1.0466254972138387,0.08332028921088597,1.988212887622609,7
4,Kampong Lama,2024-03-19 08:00:00,3.2164962310499163,0.9412564835108554,0.22505153790435983,2.05018820963474,8
4,Kampong Lama,2024-03-19 09:00:00,3.3552921180294106,0.8871132482368296,0.3268424716442482,2.1413363981483826,9
4,Kampong Lama,2024-03-19 10:00:00,3.5627254680078977,1.1125999545457432,0.21911941968767934,2.231006093774454,10
4,Kampong Lama,2024-03-19 11:00:00,3.6885780809246853,1.6022508234105715,-0.26725286680207816,2.3535801243161245,11
4,Kampong Lama,2024-03-19 12:00:00,3.7215332340604164,0.36560963416971504,1.0193355844854626,2.3365880154053116,12
4,Kampong Lama,2024-03-19 13:00:00,3.724844062969396,0.20125218578311888,1.135987185936978,2.38760469124918,13
4,Kampong Lama,2024-03-19 14:00:00,3.6776509116644434,0.5314889164929184,0.8066125564319044,2.3395494387395956,14
4,Kampong Lama,2024-03-19 15:00:00,3.5817972690608713,0.8191549282462347,0.4867863680634805,2.2758559727512306,15
