season,scenario,hour,T2,n_hours
Spring,future_plus_2p5c,0,30.65539536771595,31
Spring,future_plus_2p5c,1,30.484186430046456,30
Spring,future_plus_2p5c,2,30.330624100960915,30
Spring,future_plus_2p5c,3,30.206109345707787,30
Spring,future_plus_2p5c,4,30.15424216354589,30
Spring,future_plus_2p5c,5,30.220751318762396,30
Spring,future_plus_2p5c,6,30.646909054837064,30
Spring,future_plus_2p5c,7,31.744629067252593,30
Spring,future_plus_2p5c,8,33.15400610262949,30
Spring,future_plus_2p5c,9,34.78999343856551,30
Spring,future_plus_2p5c,10,36.51744617956397,30
Spring,future_plus_2p5c,11,37.31847931687326,30
Spring,future_plus_2p5c,12,37.04250183904484,30
Spring,future_plus_2p5c,13,36.35173159713641,30
Spring,future_plus_2p5c,14,35.41439505430633,30
Spring,future_plus_2p5c,15,34.3503217814842,30
Spring,future_plus_2p5c,16,33.47771979416123,30
Spring,future_plus_2p5c,17,32.876179097804865,30
Spring,future_plus_2p5c,18,32.311511295459795,30
Spring,future_plus_2p5c,19,31.748408251336514,30
Spring,future_plus_2p5c,20,31.385623824316344,30
Spring,future_plus_2p5c,21,31.1973935054742,30
Spring,future_plus_2p5c,22,30.968711900714457,30
Spring,future_plus_2p5c,23,30.771621480482583,30
Spring,present,0,28.150087448518494,31
Spring,present,1,27.977608325675543,30
Spring,present,2,27.822360950676703,30
Spring,present,3,27.696981897262095,30
Spring,present,4,27.644859592556063,30
Spring,present,5,27.711240991518185,30
Spring,present,6,28.133917479551993,30
Spring,present,7,29.22707133780153,30
Spring,present,8,30.626951763227336,30
Spring,present,9,32.25420259385769,30
Spring,present,10,33.97512731160032,30
Spring,present,11,34.777198131342026,30
Spring,present,12,34.50671843520119,30
Spring,present,13,33.8276373538323,30
Spring,present,14,32.89942181380211,30
Spring,present,15,31.84122350068395,30
Spring,present,16,30.97902319168234,30
Spring,present,17,30.377812565872283,30
Spring,present,18,29.814137087483235,30
Spring,present,19,29.248834052868744,30
Spring,present,20,28.88232066300987,30
Spring,present,21,28.69262218479042,30
Spring,present,22,28.46354069244304,30
Spring,present,23,28.267794904451844,30
