scenario,n_steps,Tair_mean,Tair_min,Tair_max,RH_mean,RH_min,RH_max,U_mean,U_min,U_max,pres_mean,pres_min,pres_max,kdown_mean,kdown_min,kdown_max,ldown_mean,ldown_min,ldown_max,rain_mean,rain_min,rain_max
present,12672.0,28.97534760890152,25.8882,32.9843,77.00100986821337,49.7895,91.8937,2.2326279750631315,0.336,5.7827,1009.9476329308712,1005.428,1015.371,263.62380464015155,0.0,999.0222,425.8082119002525,388.4481,453.9225,0.011366737689393938,0.0,0.5430583333333333
future_plus_2p5c,12672.0,31.47534760890152,28.3882,35.4843,77.00100986821337,49.7895,91.8937,2.2326279750631315,0.336,5.7827,1009.9476329308712,1005.428,1015.371,263.62380464015155,0.0,999.0222,440.07761236781874,401.5594,469.1219,0.011366737689393938,0.0,0.5430583333333333
